Id;RentPerWeek;RentPerMonth;LandLord;Status;Furnishing;Type;NumberOfBedrooms;IsFeatured;IsActive;ReferenceNumber;ViewingArrangements;Description;DisplayFrom;AvailableFrom;Area;BuildingName;DoorNumber;Street;PostCode
255;185.00000;801.66667;194;1;Fully furnished.;3;1;0;0;;;1double bedroom/studio, ground floor maisonette, in Queens Park. Open plan Kitchen/lounge, en-suite bathroom, shared garden all bills inclusive. close to all amenities and Queens Park Station is a short walking distance to the property. ;2010-02-05 00:00:00.000;2010-02-05 00:00:00.000;262;;51 A;Brondesbury Road;NW6 6BP
256;190.00000;823.33333;195;1;Fullly Furnished;70;1;0;0;;Book viewing with tenant.;Great opportunity to rent this studio flat, in the excellent location of Salusbury Road, Queens Park. This flat is in a loft conversion and has been modernized to a good standard. It offers an open plan kitchen-lounge, with a separate double bedroom and a shower room. Call our office on 020 7372 5950 for viewing. Available from 05/04/2010;2010-02-05 00:00:00.000;2010-04-05 00:00:00.000;262;Flat 9;46;Salusbury Road;NW6 6NN
257;162.00000;702.00000;196;1;Fully furnished;1;1;0;0;;;QPRE is please to offer this purpose built, newly decorated top floor 1 double bedroom flat. This flat has three- piece bathroom, seperate kitchen,  gas central heating, washing machine and off street parking. gives easy acess the A406, A10 Middlesex Hospital, Silver Street, White Heart Lane and buses to Finsbury Park. ;2010-02-05 00:00:00.000;2010-02-05 00:00:00.000;263;;64;Plowmans Close;N18 1XA
258;270.00000;1170.00000;197;1;Fully furnished;1;1;0;0;;;An exceptionally spacious, refurbished one-bedroom flat in the heart of Kilburn, features include generous living area, fitted kitchen with washing machine, gas central heating. The property is located with direct access to Kilburn's varied shopping facilities & transport links. Available 1/4/2010;2010-02-05 00:00:00.000;2010-02-05 00:00:00.000;258;;41B;Glengall Road;NW6 7EL
260;1600.00000;6933.33333;199;1;;126;5;0;0;;;Newly refurbished five bedrooms apartment on two floor levels in a block of flats. The apatment comes with 2 bathrooms and two kitchens which makes life easy for a large family, close to all amenities. Available now. ;2010-02-12 00:00:00.000;2010-02-12 00:00:00.000;259;;51;Downfields Close;W9 2JH
261;360.00000;1560.00000;200;1;Fully furnished;126;2;0;0;;Keys in office.;A stunning 2 bedroom flat  in Willesden Lane. This spacious and bright flat comprises of a fully fitted kitchen, a reception, a eat-in dining area, 2 double bedrooms and 2 bathrooms( 1 en-suite). The flat benefits from a communal garden and is moments from all amenities and 10 mn walking distance from Kilburn tube station( Jubilee Line).Council Tax band E. Available now  ;2010-02-12 00:00:00.000;2010-02-12 00:00:00.000;265;Marlow Court;38 Marlow Court;Willesden Lane;NW6 7PS
262;450.00000;1950.00000;200;1;Fullly Furnished;126;3;0;0;;Keys in office;A stunning 4 bedroom flat converted into a 3 bedroom flat in Willesden Lane. This spacious and bright  flat comprises of a fully fitted kitchen, a reception, a eat-in dining area, 3 double bedrooms and 2 bathrooms( 1 en-suite).  The flat benefits from a communal garden and is moments  from all amenities and 10 mn walking distance from Kilburn tube station( Jubilee Line).Available now;2010-02-12 00:00:00.000;2010-02-12 00:00:00.000;265;Marlow Court;38 Marlow Court;Willesden Lane;NW6 7PS
263;325.00000;1408.33333;201;1;Fullly Furnished;1;3;0;0;;Keys in office.;3 Bedrooms Apartment, 2 double and 1 large single (the single room could take a double bed), furnished and comes with 1 parking space in the driveway. Close to all local amenities. Available now ;2010-02-12 00:00:00.000;2010-02-12 00:00:00.000;258;;33;Cavendish Road;NW6 7XP
264;250.00000;1083.33333;202;2;Fullly Furnished;126;1;0;0;;Keys in office;We are happy to present you this stunning apartment set on the second floor in The Amelia Apartments at Beaufort Park. The property offers large living room with terrace, double bedroom, fully fitted kitchen and a bathroom. Use of well equipped gym and allocated parking space compliment the property. The Colindale Tube station is nearby. Available by the 11/12/09 and for Short Let at ?500 per week;2010-02-12 00:00:00.000;2010-02-12 00:00:00.000;270;Amelia House;21;Boulevard Drive;NW9 5JP
265;240.00000;1040.00000;203;1;Fullly Furnished;126;1;0;0;;Keys in office.;This stunning apartment set on the 4th floor in The Arctic House apartments at Beaufort Park.The property offers large open plan living room with terrace, double bedroom, fully fitted kitchen and a bathroom. Use of well equipped gym and allocated parking space compliment the property.The Colindale Tube station is nearby. Available from  06/12/09 at ?240 per week and for Short Let at ?500 per week.;2010-02-12 00:00:00.000;2010-02-12 00:00:00.000;270;38 Arctic House;3;Heritage Avenue;NW9 5FL
