Id;Price;Vendor;Status;Furnishing;Type;NumberOfBedrooms;IsFeatured;IsActive;ReferenceNumber;ViewingArrangements;Description;DisplayFrom;AvailableFrom;Area;BuildingName;DoorNumber;Street;PostCode
138;12.00000;17;;not specified       ;1;0;0;0;121;1212;1221;2009-09-07 15:34:01.000;2009-09-07 15:34:01.000;240;test;12;test;121
143;269950.00000;21;;not specified       ;1;1;0;0;          ;;This beautifully presented one bedroom top floor flat offers bright and spacious accommodation recently refurbished and provides access to a shared garden.This property comprises attractive reception room with exposed brickwork, open-plan kitchen area, gen;2009-09-07 15:34:02.000;2009-09-07 15:34:02.000;240;;179;Brondesbury Park;NW2 5JN   
160;920000.00000;48;;not specified       ;1;4;0;0;          ;;We are happy to offer you this very spacious 4 bedroom detached house located on the South side of Hampstead Garden Suburb.. The property offers four double bedrooms, two receptions, two bathroom, cloakroom, garage and Off Street Parking. ;2009-09-07 15:34:04.000;2009-09-07 15:34:04.000;240;;64;Ossulton Way;N2 OLB    
161;1450000.00000;48;;not specified       ;4;5;0;0;          ;Call Femi;Well presented and attractive (New Development) 5 bedrooms detached house in Deerhurst Road London NW2.Comprises of Two reception rooms, four bathrooms (3 en-suite), large entrance hall and a modern fitted kitchen. There is also an integrated garage. Close;2009-09-07 15:34:05.000;2009-09-07 15:34:05.000;240;;4;Deerhurst Road;NW2 4DE   
163;2195950.00000;50;;not specified       ;3;6;0;0;          ;;A unique opportunity to purchase this substantial detached house arranged over three floors with bright and spacious accommodation. The house has been refurbished to high standard and offers 4 receptions, 3 kitchens, 6 bedrooms, 4 bathrooms(1 en-suite), ga;2009-09-07 15:34:05.000;2009-09-07 15:34:05.000;240;;70;Chatsworth Road;NW2 4DG   
158;479950.00000;38;;not specified       ;63;2;0;0;          ;Keys in Office call tenants before hand;This beautifully presented three bedrooms flat offers bright and spacious accommodation including access to a shared garden. This property comprises attractive reception room with feature fireplace, modern kitchen, three generous bedrooms, bathroom, cloakr;2009-09-07 15:34:04.000;2009-09-07 15:34:04.000;250;;179;Brondesbury Park;NW2 5JN   
162;1795000.00000;49;;not specified       ;4;5;0;0;          ;;5 bedroom detached house with art deco features located in desirable location of Brondesbury Park. Walking distance to Kilburn Underground and Brondesbury Park Station.The property offers 5 bedrooms, 2 receptions, breakfast room, kitchen, 4 bathrooms, 5 to;2009-09-07 15:34:05.000;2009-09-07 15:34:05.000;250;;30;Manor House Drive;NW6 7DF   
152;585000.00000;30;2;not specified       ;3;3;0;1;          ;Mr Oyefeso - only ;New on the market 3 bedroom semi-detached house. The property offers 3 receptions, 3 bedrooms, 2 kitchens, bathroom, shower/toilet and back garden. Freehold  ;2009-09-07 00:00:00.000;2009-09-07 00:00:00.000;251;;44;Olive Road;NW2 6UD   
172;165000.00000;77;;not specified       ;1;1;0;0;          ;Call Tenants;New on the market 1 bedroom flat set on the first floor in this block of flats. The flat offers double bedroom, reception, kitchen and bathroom. The property is located within a good access to the jubilee line and overground trains in Cricklewood. ;2009-09-07 15:34:06.000;2009-09-07 15:34:06.000;251;;63;Ashford Court, Ashford Road;NW2 6BP   
144;340000.00000;22;;not specified       ;63;3;0;0;          ;;We are glad to present to you this purpose built 3 bedroom flat on Dollis Hill Lane. This property has three bedrooms , a separate bathroom and toilet, communal garden with parking facilities, two receptions, a separate kitchen and the property is overlook;2009-09-07 15:34:02.000;2009-09-07 15:34:02.000;252;;31;Nevilles Court;NW2 6HG   
